Greenhouse_Gas_Source_And_Sink_Categors,Sheet,State,Year,value
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1990,1126.2806
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1991,1283.48837
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1992,1157.545615
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1993,1187.171425
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1994,1427.094346
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1995,1167.165736
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1996,1213.127218
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1997,1151.890641
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1998,1180.346601
Total (net emissions),Australian Capital Territory,Australian Capital Territory,1999,1364.763744
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2000,1246.459672
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2001,1113.553046
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2002,1186.18436
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2003,1230.92871
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2004,1566.341127
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2005,1391.425109
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2006,1476.921209
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2007,1320.043971
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2008,1298.037389
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2009,1998.312562
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2010,1690.788553
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2011,1803.233755
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2012,1683.371974
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2013,1524.044711
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2014,1553.976263
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2015,1581.580399
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2016,1423.15052
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2017,1374.956762
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2018,1165.091342
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2019,1185.977818
Total (net emissions),Australian Capital Territory,Australian Capital Territory,2020,1134.055158
1. Energy,Australian Capital Territory,Australian Capital Territory,1990,906.8443676
1. Energy,Australian Capital Territory,Australian Capital Territory,1991,903.0566731
1. Energy,Australian Capital Territory,Australian Capital Territory,1992,931.4148313
1. Energy,Australian Capital Territory,Australian Capital Territory,1993,923.1107588
1. Energy,Australian Capital Territory,Australian Capital Territory,1994,947.1673399
1. Energy,Australian Capital Territory,Australian Capital Territory,1995,984.2006456
1. Energy,Australian Capital Territory,Australian Capital Territory,1996,993.3506224
1. Energy,Australian Capital Territory,Australian Capital Territory,1997,998.9857203
1. Energy,Australian Capital Territory,Australian Capital Territory,1998,1027.263919
1. Energy,Australian Capital Territory,Australian Capital Territory,1999,941.8930527
1. Energy,Australian Capital Territory,Australian Capital Territory,2000,1057.16135
1. Energy,Australian Capital Territory,Australian Capital Territory,2001,913.5647676
1. Energy,Australian Capital Territory,Australian Capital Territory,2002,956.4778074
1. Energy,Australian Capital Territory,Australian Capital Territory,2003,934.0281954
1. Energy,Australian Capital Territory,Australian Capital Territory,2004,1037.205741
1. Energy,Australian Capital Territory,Australian Capital Territory,2005,900.8225251
1. Energy,Australian Capital Territory,Australian Capital Territory,2006,960.6448176
1. Energy,Australian Capital Territory,Australian Capital Territory,2007,979.5711916
1. Energy,Australian Capital Territory,Australian Capital Territory,2008,1044.964927
1. Energy,Australian Capital Territory,Australian Capital Territory,2009,1005.045377
1. Energy,Australian Capital Territory,Australian Capital Territory,2010,1043.170888
1. Energy,Australian Capital Territory,Australian Capital Territory,2011,1085.325567
1. Energy,Australian Capital Territory,Australian Capital Territory,2012,1095.706389
1. Energy,Australian Capital Territory,Australian Capital Territory,2013,1078.632802
1. Energy,Australian Capital Territory,Australian Capital Territory,2014,1053.603517
1. Energy,Australian Capital Territory,Australian Capital Territory,2015,1128.292482
1. Energy,Australian Capital Territory,Australian Capital Territory,2016,1182.106141
1. Energy,Australian Capital Territory,Australian Capital Territory,2017,1135.481248
1. Energy,Australian Capital Territory,Australian Capital Territory,2018,1098.768798
1. Energy,Australian Capital Territory,Australian Capital Territory,2019,1127.21292
1. Energy,Australian Capital Territory,Australian Capital Territory,2020,939.4376287
3.  Transport,Australian Capital Territory,Australian Capital Territory,1990,901.5383395
3.  Transport,Australian Capital Territory,Australian Capital Territory,1991,884.7769156
